Robux Amount,Gamepass name,Your Price,Your Cost,Profit,Status,Suggested Lower Price,Gamepass name,Robux Rate Per 1000,Logshet
,,,0,0,#VALUE!,-5,,,
survive the apocalypse,,,#VALUE!,#VALUE!,,-5,,,
999,670,429,229.77,199.23,Good,665,,,
349,270,230,80.27,149.73,Good,265,,,
99,70,50,22.77,27.23,Good,65,,,
49,40,30,11.27,18.73,Okay,35,,,
,,,0,0,Bad,-5,,,
catch and tame,,,#VALUE!,#VALUE!,#VALUE!,-5,,,
119,45,43,27.37,15.63,Okay,40,breed luck,,
79,30,25,18.17,6.83,Okay,25,2x food ,,
19,10,10,4.37,5.63,Okay,5,extra speed,,
359,120,115,82.57,32.43,Good,115,ultra luck,,
39,20,20,8.97,11.03,Okay,15,auto click,,
299,45,90,68.77,21.23,Good,40,lucky block luck,,
39,20,20,8.97,11.03,Okay,15,weather totems,,
159,60,55,36.57,18.43,Okay,55,weather totems,,
79,30,30,18.17,11.83,Okay,25,vip,,
95,40,40,21.85,18.15,Okay,35,flying pet potion ,,
175,65,60,40.25,19.75,Okay,60,flying pet potion ,,
59,25,25,13.57,11.43,Okay,20,riding pet potion,,
159,60,55,36.57,18.43,Okay,55,riding pet potion,,
59,25,25,13.57,11.43,Okay,20,exclusive cave decoration,,
159,50,50,36.57,13.43,Okay,45,exclusive cave decoration,,
399,140,120,91.77,28.23,Good,135,exclusive cave decoration,,
39,15,15,8.97,6.03,Okay,10,admin abuse weather totems,,
159,38,50,36.57,13.43,Okay,33,admin abuse weather totems,,
239,55,125,54.97,70.03,Good,50,admin abuse weather totems,,
,,,0,0,Bad,-5,op food pack,,
drag simulator,,,#VALUE!,#VALUE!,#VALUE!,-5,,,
149,55,50,34.27,15.73,Okay,50,Police Pass,,
119,45,40,27.37,12.63,Okay,40,Luxury Pass,,
109,40,35,25.07,9.93,Okay,35,Dragspec Pass,,
89,35,30,20.47,9.53,Okay,30,Slot Limit Unlocker,,
499,170,145,114.77,30.23,Good,165,2X Paycheck,,
79,30,25,18.17,6.83,Okay,25,Custom Plate Pass,,
79,30,25,18.17,6.83,Okay,25,Exclusive Rims,,
59,25,20,13.57,6.43,Okay,20,Advance Paint Pass,,
59,25,20,13.57,6.43,Okay,20,Premium Accessories,,
29,15,10,6.67,3.33,Bad,10,Boombox Radio,,
29,15,15,6.67,8.33,Okay,10,Suspension Pro,,
399,140,135,91.77,43.23,Good,135,"Rp 500,000,000",,
99,40,35,22.77,12.23,Okay,35,"Rp 100,000,000",,
59,25,20,13.57,6.43,Okay,20,"Rp 50,000,000",,
35,20,10,8.05,1.95,Bad,15,"Rp 10,000,000",,
18,20,6,4.14,1.86,Bad,15,"5,000,000",,
9,,4,2.07,1.93,Bad,-5,"1,000,000",,
,,,,,Bad,-5,,,
Wizard Alchemy,,,,,Bad,-5,,,
129,0,45,29.67,15.33,Okay,-5,Exclusive Pack,,
299,0,95,68.77,26.23,Good,-5,Skip Mixing,,
449,0,130,103.27,26.73,Good,-5,Better Alchemy,,
249,0,85,57.27,27.73,Good,-5,Double Storage,,
349,0,105,80.27,24.73,Good,-5,Sell Anywhere,,
129,0,45,29.67,15.33,Okay,-5,Lunar Set,,
799,0,265,183.77,81.23,Good,-5,Starlight Set,,
49,0,20,11.27,8.73,Okay,-5,Tiny Cash Pack,,
175,0,65,40.25,24.75,Good,-5,Small Cash Pack,,
399,0,120,91.77,28.23,Good,-5,Medium Cash Pack,,
699,0,220,160.77,59.23,Good,-5,Advanced Cash Pack,,
1199,0,340,275.77,64.23,Good,-5,Huge Cash Pack,,
59,0,20,13.57,6.43,Okay,-5,1 reroll,,
249,0,85,57.27,27.73,Good,-5,5 reroll,,
459,0,140,105.57,34.43,Good,-5,10 reroll,,
,,,,,,,,,
Strongest Battlegrounds,,,,,,,,,
299,0,90,68.77,21.23,Good,-5,Advanced Luck,,
499,0,165,114.77,50.23,Good,-5,Extra Luck,,
299,0,90,68.77,21.23,Good,-5,Advanced Luck,,
25,0,20,5.75,14.25,Okay,-5,Extra Luck,,
99,0,35,22.77,12.23,Okay,-5,Advanced Luck,,
199,0,65,45.77,19.23,Okay,-5,Extra Luck,,
125,0,50,28.75,21.25,Good,-5,Advanced Luck,,
250,0,85,57.5,27.5,Good,-5,Extra Luck,,
99,0,35,22.77,12.23,Okay,-5,Advanced Luck,,
99,0,35,22.77,12.23,Okay,-5,Extra Luck,,
1250,0,365,287.5,77.5,Good,-5,Advanced Luck,,
79,0,35,18.17,16.83,Okay,-5,Extra Luck,,
237,0,80,54.51,25.49,Good,-5,Advanced Luck,,
395,0,118,90.85,27.15,Good,-5,Extra Luck,,
399,0,120,91.77,28.23,Good,-5,Small Luck ,,
799,0,235,183.77,51.23,Good,-5,Double XP,,
,,,,,,,,,
EVADE,,,,,,,,,
350,0,110,80.5,29.5,Good,-5,MUSIC CARRY PACK 1,,
500,0,165,115,50,Good,-5,MUSIC EMOTES PACK 1,,
600,0,180,138,42,Good,-5,BEE SET,,
300,0,95,69,26,Good,-5,Boombox,,
500,0,165,115,50,Good,,RETRO COSMETICS SET,,
350,0,115,80.5,34.5,Good,-5,WORLDS COLLIDE,,
300,0,90,69,21,Good,-5,6 EMOTES SLOTS,,
700,0,220,161,59,Good,-5,MILITARY SET,,
400,0,120,92,28,Good,-5,FUTURE PACK,,
600,0,180,138,42,Good,-5,CRYSTALLINE SET,,
600,0,180,138,42,Good,-5,ANIMAL SET,,
90,0,40,20.7,19.3,Okay,-5,30 Points,,
350,0,230,80.5,149.5,Good,-5,EMOTE PACK,,
600,0,180,138,42,Good,-5,CLASSIC SET,,
300,0,95,69,26,Good,-5,100 Points,,
1100,0,335,253,82,Good,-5,400 Points (Best Value!),,
,,,,,,,,,
Anime Warriors III,,,,,,,,,
499,0,155,114.77,40.23,Good,-5,VIP,,
399,0,115,91.77,23.23,Good,-5,Extra Equip,,
299,0,90,68.77,21.23,Good,-5,2x Cash,,
499,0,155,114.77,40.23,Good,-5,1.5x EXP,,
149,0,55,34.27,20.73,Good,-5,Lucky,,
649,0,175,149.27,25.73,Good,-5,Super Lucky,,
1199,0,330,275.77,54.23,Good,-5,Omega Lucky,,
99,0,40,22.77,17.23,Okay,-5,Small Storage,,
399,0,115,91.77,23.23,Good,-5,Fast Open,,
499,0,155,114.77,40.23,Good,-5,Multi Open,,
199,0,65,45.77,19.23,Okay,-5,Huge Storage,,
699,0,185,160.77,24.23,Good,-5,Shiny Hunter,,
1499,0,390,344.77,45.23,Good,-5,Secret Hunter,,
49,0,25,11.27,13.73,Okay,-5,Fast Travel,,
69,0,30,15.87,14.13,Okay,-5,1x Reroll,,
699,0,185,160.77,24.23,Good,-5,10x Reroll,,
,,,,,,,,,
Anime Fighting Simulator Endless,,,,,,,,,
199,0,65,45.77,19.23,Okay,-5,x2 Strength,,
199,0,65,45.77,19.23,Okay,-5,x2 Durability,,
199,0,65,45.77,19.23,Okay,-5,x2 Chakra,,
199,0,65,45.77,19.23,Okay,-5,x2 Sword Skill,,
99,0,35,22.77,12.23,Okay,-5,x2 Agility,,
99,0,35,22.77,12.23,Okay,-5,x2 Speed,,
249,0,85,57.27,27.73,Good,-5,x2 Yen,,
199,0,65,45.77,19.23,Okay,-5,Conceal Power,,
299,0,90,68.77,21.23,Good,-5,VIP,,
249,0,85,57.27,27.73,Good,-5,Half Cooldown,,
749,0,220,172.27,47.73,Good,-5,No Limit,,
149,0,50,34.27,15.73,Okay,-5,Faster Flight,,
249,0,85,57.27,27.73,Good,-5,x2 Chikara,,
199,0,65,45.77,19.23,Okay,-5,Chakra Healing,,
249,0,85,57.27,27.73,Good,-5,x2 Tokens,,
99,0,35,22.77,12.23,Okay,-5,x4 Gacha Speed,,
1299,0,390,298.77,91.23,Good,-5,Shiny Hunter,,
199,0,65,45.77,19.23,Okay,-5,Custom Power Level,,
49,0,20,11.27,8.73,Okay,-5,Instant Trait Reroll,,
,,,,,,,,,
CDID,,,,,,,,,
111,0,45,25.53,19.47,Okay,-5,Emergency Vehicles,,
319,0,100,73.37,26.63,Good,-5,50% Job Earning,,
199,0,65,45.77,19.23,Okay,-5,Advance Modification,,
207,0,70,47.61,22.39,Good,-5,Luxury Vehicles,,
79,0,25,18.17,6.83,Okay,-5,Additional Ownable Car,,
151,0,50,34.73,15.27,Okay,-5,Rare Imports,,
63,0,25,14.49,10.51,Okay,-5,Luxury House,,
319,0,100,73.37,26.63,Good,-5,2x Paycheck,,
135,0,55,31.05,23.95,Good,-5,Retro Pass,,
215,0,75,49.45,25.55,Good,-5,2x Additional Ownable Car,,
1599,0,440,367.77,72.23,Good,-5,"Rp. 10,000,000,000",,
33,0,15,7.59,7.41,Okay,-5,"Rp. 25,000,000",,
2034,0,569,467.82,101.18,Good,-5,"Rp. 25,000,000,000",,
67,0,27,15.41,11.59,Okay,-5,"Rp. 100,000,000",,
799,0,235,183.77,51.23,Good,-5,"Rp. 2,500,000,000",,
319,0,100,73.37,26.63,Good,-5,"Rp. 750,000,000",,
135,0,55,31.05,23.95,Good,-5,"Rp. 250,000,000",,
30,0,13,6.9,6.1,Okay,-5,Limited Box,,
ROBUX SELL,,,,,,,,,
Covered tax,,,,,,,,240,
143,100,45,32.89,12.11,Okay,,,,
286,200,85,65.78,19.22,Okay,,,,
429,300,130,98.67,31.33,Good,,,,
572,400,170,131.56,38.44,Good,,,,
715,500,210,164.45,45.55,Good,,,,
858,600,255,197.34,57.66,Good,143+1143=,,,
1143,800,310,262.89,47.11,Good,1143,,,
1429,1000,410,328.67,81.33,Good,,,,
Not covered tax,,,,,Bad,,,,
100,70,30,23,7,Okay,,,,
200,140,60,46,14,Okay,,,,
300,210,90,69,21,Good,,,,
400,280,120,92,28,Good,,,,
500,350,150,115,35,Good,,,,
600,420,180,138,42,Good,,,,
800,560,240,184,56,Good,,,,
3800,700,990,874,116,Good,,,,
,,,,,,,,,
Hypershot,,,,,,,,,
850,0,245,195.5,49.5,Good,-5,celestial,,
850,0,245,195.5,49.5,Good,-5,lovesick,,
399,0,115,91.77,23.23,Good,-5,VIP,,
199,0,60,45.77,14.23,Okay,-5,Rainbow Bullets,,
67,0,25,15.41,9.59,Okay,-5,67 bundle,,
1299,0,360,298.77,61.23,Good,-5,The Big Gun,,
399,0,120,91.77,28.23,Good,-5,Pizza party,,
299,0,90,68.77,21.23,Good,-5,Starter Pack,,
799,0,230,183.77,46.23,Good,-5,The Essentials,,
99,0,35,22.77,12.23,Okay,-5,Lucky,,
199,,65,,,,,,,
Keyboard Escape | Candy & Chocolate,,,,,,,,,
59,0,30,13.57,16.43,Okay,-5,gold treadmill,,
259,0,85,59.57,25.43,Good,-5,diamond treadmill,,
749,0,210,172.27,37.73,Good,-5,candy treadmill,,
1599,0,410,367.77,42.23,Good,-5,admin treadmill,,
,,,,,,-5,1 pack,,
Build a ring farm,,,,,,,,,
199,0,60,45.77,14.23,Okay,-5,1 egg,,
499,0,140,114.77,25.23,Good,-5,3 egg,,
1499,0,390,344.77,45.23,Good,-5,10 eggs,,
499,0,140,114.77,25.23,Good,-5,3 packs,,
199,0,60,45.77,14.23,Okay,-5,1 pack,,
1199,0,320,275.77,44.23,Good,-5,10 packs,,
79,0,25,18.17,6.83,Okay,-5,1 pack,,
199,0,60,45.77,14.23,Okay,-5,3 packs,,
699,0,190,160.77,29.23,Good,-5,10 packs,,
999,0,280,229.77,50.23,Good,-5,1 pet equip,,
1999,0,510,459.77,50.23,Good,-5,disco bundle,,
799,0,240,183.77,56.23,Good,-5,pirate bundle,,
1199,0,320,275.77,44.23,Good,-5,gummy kingdom bundle,,
,,,,,,,,,
Grow a garden 2,,,,,,,,,
499,0,135,114.77,20.23,Good,-5,Vine wrapper,,
299,0,90,68.77,21.23,Good,-5,Power hoe,,
749,0,215,172.27,42.73,Good,-5,Freeze ray,,
599,0,185,137.77,47.23,Good,-5,Rainbow carpet,,
99,0,35,22.77,12.23,Okay,-5,1 roll,,
249,0,80,57.27,22.73,Good,-5,3 rolls,,
799,0,230,183.77,46.23,Good,-5,10 rolls,,
3499,0,915,804.77,110.23,Good,-5,50 rolls,,
,,,,,,,,,
,,,,,,,,,
keme,,,,,,,,,
250,0,80,57.5,22.5,Good,-5,Auto buy,,
200,0,70,46,24,Good,-5,Auto collect,,
199,0,65,45.77,19.23,Okay,-5,Double XP,,
299,0,90,68.77,21.23,Good,-5,Diamond Auto Collect,,
2249,0,645,517.27,127.73,Good,,,,
,,,,,,,,,
Redliner,,,,,,,,,
39,0,15,8.97,6.03,Okay,-5,180,,
79,0,35,18.17,16.83,Okay,-5,390,,
199,0,65,45.77,19.23,Okay,-5,1000,,
599,0,165,137.77,27.23,Good,-5,3150,,
1599,0,435,367.77,67.23,Good,-5,9000,,
4499,0,1190,1034.77,155.23,Good,-5,27000,,
499,0,140,114.77,25.23,Good,-5,nihility,,
,,,,,,,,,
Midnight chasers,,,,,,,,,
200,0,70,vip,#VALUE!,#VALUE!,-5,vip,,
175,0,60,track vehicles,#VALUE!,#VALUE!,-5,track vehicles,,
75,0,35,mobile customization,#VALUE!,#VALUE!,-5,mobile customization,,
125,0,50,police,#VALUE!,#VALUE!,-5,police,,
50,0,20,"30,000","-29,980",Bad,-5,"30,000",,
200,0,70,"130,000","-129,930",Bad,-5,"130,000",,
400,0,135,"280,000","-279,865",Bad,-5,"280,000",,
800,0,235,"580,000","-579,765",Bad,-5,"580,000",,
1700,0,470,"1,200,000","-1,199,530",Bad,-5,"1,200,000",,
4500,0,1140,"3,500,000","-3,498,860",Bad,-5,"3,500,000",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
399,0,130,91.77,38.23,Good,-5,VIP,,
449,0,130,103.27,26.73,Good,-5,x2 chakra,,
449,0,130,103.27,26.73,Good,-5,x2 strength,,
449,0,130,103.27,26.73,Good,-5,x2 durability,,
449,0,130,103.27,26.73,Good,-5,x2 sword,,
499,0,140,114.77,25.23,Good,-5,x2 Yen,,
399,0,130,91.77,38.23,Good,-5,2x Chikara,,
199,0,65,45.77,19.23,Okay,-5,Luck,,
